序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,是否新高,量比,涨停统计,入选理由,所属行业
66,002422,科伦药业,1.2666244506835938,31.98,34.74,361434512,37561503938.4,47059870178.88,0.9626957774162292,0.03127932548522949,1,0.7944880723953247,0/0,1,化学制药
48,003017,大洋生物,2.711864471435547,33.33,35.7,69636613,1412986687.1999998,1999800000.0,4.952134609222412,0.0,1,1.852369785308838,0/0,1,化学原料
37,688067,爱威科技,4.814004421234131,23.95,27.42,115326467,982336600.9,1628600000.0,11.578892707824707,0.0,1,1.7510402202606201,0/0,1,医疗器械
19,300238,冠昊生物,9.970458030700684,14.89,16.25,323934416,3947846480.98,3948168387.8900003,8.569289207458496,0.0,1,1.3633230924606323,0/0,1,医疗器械
102,600829,人民同泰,-2.0718231201171875,7.09,7.96,71167953,4111410152.73,4111410117.2799997,1.7188559770584106,0.0,1,1.7080625295639038,0/0,1,医药商业
105,300053,欧比特,-3.6929759979248047,13.3,16.57,957584960,8418220742.400001,9268428456.0,11.121100425720215,0.0,1,1.1435763835906982,0/0,1,半导体
103,600858,银座股份,-2.167182683944702,6.32,7.11,67178360,3270903543.28,3286820861.44,2.0172812938690186,0.0,1,0.6519831418991089,0/0,1,商业百货
80,601086,国芳集团,0.20533882081508636,4.88,5.36,25225835,3250080000.0,3250080000.0,0.7771771550178528,0.20533882081508636,1,0.5909258723258972,0/0,1,商业百货
92,600729,重庆百货,-0.5134788155555725,31.0,34.28,49503896,12455690415.0,12602382384.0,0.39248254895210266,0.0,1,0.8281540870666504,0/0,1,商业百货
107,300922,天秦装备,-4.095238208770752,20.14,25.2,508970336,1727527129.5,3158177568.0,28.314725875854492,0.0,1,2.097726345062256,0/0,1,塑料制品
96,003011,海象新材,-1.3427826166152954,26.45,29.49,37675673,1462161157.75,2715780200.0,2.563706636428833,0.07567158341407776,1,0.9609118700027466,0/0,1,塑料制品
84,301101,明月镜片,0.0,70.9,85.08,102357090,3378058860.0000005,9524805260.0,3.01945424079895,0.0,1,1.102951169013977,0/0,1,家用轻工
51,605299,舒华体育,2.529762029647827,13.78,14.78,181788837,1564735315.52,5670456330.24,11.72740364074707,0.07262164354324341,1,0.8872535824775696,0/0,1,家用轻工
63,600261,阳光照明,1.3736263513565063,3.69,4.0,37435443,5220094034.7,5220094042.08,0.7213639616966248,0.27173912525177,1,1.3161578178405762,0/0,1,家电行业
44,603219,富佳股份,4.10423469543457,15.98,16.89,78488657,2481458215.1,8971172000.0,3.199323892593384,-0.06253908574581146,1,1.4297593832015991,0/0,1,家电行业
42,300625,三雄极光,4.623415470123291,14.03,16.09,203822255,2230345003.24,3919014042.24,9.266327857971191,0.0,1,1.4121239185333252,0/0,1,家电行业
74,002519,银河电子,0.6745362877845764,5.97,6.52,698462224,6663190884.719999,6724792449.12,10.430962562561035,0.0,1,0.9976111650466919,0/0,1,家电行业
78,600846,同济科技,0.3539822995662689,11.34,12.43,144872642,7084795591.44,7084795636.8,2.0587964057922363,0.0,1,0.6745750308036804,0/0,1,工程建设
20,600503,华丽家族,9.935897827148438,3.43,3.43,409563184,5495854700.0,5495854700.0,7.589901924133301,0.0,1,1.5200797319412231,3/2,3,房地产开
104,300295,三六五网,-3.0209617614746094,15.73,19.46,834589712,2635539855.52,3001672751.2200003,30.86763572692871,0.0,1,1.84969961643219,2/1,1,文化传媒
25,600331,宏达股份,8.0,4.05,4.13,542094256,8229600000.0,8229600000.0,6.722113132476807,0.0,1,1.354988932609558,0/0,1,有色金属
98,603922,金鸿顺,-1.4210312366485596,24.28,27.09,35367447,3107840000.0,3107840000.0,1.1275781393051147,0.041203130036592484,1,1.1926088333129883,0/0,1,汽车零部
47,603390,通达电气,2.8132991790771484,8.04,8.6,53520888,2827563351.3599997,2827563415.68,1.9130363464355469,0.0,1,1.5171242952346802,0/0,1,汽车零部
31,002600,领益智造,6.677796840667725,6.39,6.59,1973188096,44036708029.56,44977132892.159996,4.455846786499023,0.31397175788879395,1,5.1842451095581055,0/0,1,消费电子
2,300533,冰川网络,20.0,86.4,86.4,1513822032,9193553308.800001,13179267648.0,18.180326461791992,0.0,1,1.55745530128479,1/1,1,游戏
