序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率
298,301171,易点天下,19.86,-4.15,-0.86,54707,109839350.79,5.31,20.9,19.8,20.9,20.72,1.3,7.25,56.7,2.92
299,001231,农心科技,21.71,0.98,0.21,12532,27088272.35,1.3,21.74,21.46,21.65,21.5,1.22,5.01,32.2,2.4
300,688403,汇成股份,10.8,-1.46,-0.16,49272,53276459.0,2.65,11.0,10.71,10.99,10.96,0.77,4.03,85.7,3.07
301,688292,浩瀚深度,25.02,-2.49,-0.64,25745,64787004.0,3.43,25.8,24.92,25.8,25.66,0.76,7.12,-570.59,4.05
302,603255,鼎际得,43.11,-1.98,-0.87,7391,31997892.0,2.73,44.1,42.9,43.98,43.98,0.67,2.22,76.23,3.74
303,001330,博纳影业,9.0,-1.32,-0.12,87893,79287406.5,1.32,9.1,8.98,9.1,9.12,1.03,3.2,-28.58,1.85
304,001222,源飞宠物,15.78,-1.19,-0.19,18920,29964961.32,1.63,15.99,15.73,15.97,15.97,0.8,3.96,35.56,2.71
305,688401,路维光电,30.83,-0.84,-0.26,11969,36829885.0,2.83,31.38,30.5,31.11,31.09,0.69,2.77,52.44,4.44
306,301330,熵基科技,31.44,-1.04,-0.33,12443,39045726.58,3.02,32.02,31.06,31.8,31.77,0.51,2.73,47.88,1.99
307,688203,海正生材,13.11,-0.83,-0.11,8727,11439644.0,1.97,13.27,13.01,13.26,13.22,0.63,1.81,159.67,1.84
308,301338,凯格精机,41.16,1.16,0.47,49358,201745964.43,3.69,41.4,39.9,40.61,40.69,0.71,19.96,94.85,3.19
309,001339,智微智能,26.18,-0.27,-0.07,20453,53459276.96,1.83,26.38,25.9,26.28,26.25,0.9,3.31,45.38,3.46
310,688041,海光信息,58.94,3.24,1.85,153727,886031117.0,5.69,58.95,55.7,57.12,57.09,1.5,7.26,143.07,7.94
311,301336,趣睡科技,49.51,-6.21,-3.28,19091,95765308.52,5.13,51.9,49.19,51.5,52.79,0.76,19.09,77.11,2.54
312,688273,麦澜德,34.88,-0.99,-0.35,11196,38973605.0,2.95,35.48,34.44,35.48,35.23,0.76,4.78,27.09,2.66
